"Order No (v8)";2185_GT112017
"PL order No.";"RS0091 RS0092"
Client;Ediltrasporti
"Delivery address to client";"TOCCO + Orab"
VIN;"ZB3M300010Y066728 - ZB3M300010Y066752"
"Production slot (week)";2
Units;2
Brand;Viberti
Category;"Coil (107mm neck)"
Typ;NS3KRBM2-IT
"axle producer";"BPW Disc"
options;"rear dropside, 8 pockets in front beam, 2 pockets in front, 2 in rear,6 pairs of pockets in side profiles for 80x80 pillars"
"upper structure type";"Curtainsider with dropsides"
"hinges for dropsides";YES
"pocket for hestal pillars";"No Hestal, Pockets for Kinnegrip pillars"
"long palletbox";NO
"pockets for 80x80 pillars";"8 pockets in front beam, 2 pockets in front, 2 in rear,6 pairs of pockets in side profiles for 80x80 pillars"
KTL;YES
"Nominal5 wheel";1150
"(real 5 wheel)";1150
"wheel size";385/65/R22,5
wheels*;"6x BRIDGESTONE R168, 6x steel rims"
"steering axle";NO
"axle type";"SHBFH 9010 ALMT D430-TSB OF120 1300 - 2040 "
"Chassis PDM drawing";P090-K033920
"QAD NR";K234755
"upper structure according to drawing:";"K032980 - wall 1200, dropsides H800, without steel profile"
"planks holder";none
"landing legs/shaft length/foot/position/ground dis.";L500S750/1450/S/up/324
"accesory, boxes and wheel holders, 1";"toolbox Jbz700 (W191948) + wheel basket (W015165 for ET-120 or W185514 for ET-0)"
"accesory, boxes and wheel holders, 2";none
"accesory, other, 1";"brake pad wear sensors"
"accesory, other, 2";"40 female hinges for dropsides (40x K033467), not assembled"
"accesory, other, 3";"8 pillars for Coil H-1500mm, 4x W218828  (one W218828 includes: 2x pillar W212304, 1x crossbeam W212266, 1x strap M141224)"
"accesory, side protection";"side protection standard(2x w030388+ 4x M142301)"
"accessory 1";"Pommier document box 3805130, bought and assembled by IR"
"rear buffer";"double rollers- W857010"
mudguards;"full mudguards with rainflaps only on rear axle (W973391)"
"ferry rings";YES
"lashing rings for fixing goods inside semi.";YES
"1st axle lifted (steering from the cabin)";YES
"1st and 3rd axle lifted (steering from the cabin)";NO
Hubodometer;NO
"Antispray on all mudguards";NO
Lights;"Europoint II"
"tire from Poland";NO
"rims from Poland";NO
"Electric socket";"2x 7pin + 1x 15 pin"
Frame;other
"Rear bumper profile, light fixing profile";"Standard RAL 9003"
"Wheel hub";Original
"Front pillar";"Standard RAL9006"
"Rear pillar";"Standard RAL9006"
"Rear door";Original
Hestal;Original
"back doors with graphic";NO
"information abour standard configuration";"brake system is Wabco, aluminium air tanks (160 litre total)"
"Non standard description";"AXLES BPW-included
DROPSIDE without reflexite (not assembled) ";"-included in upper structure 
 plus 4 pillars for Coil H-1500mm (total 8)

slim profile2Â° from bottom - included in K032980"
